SA1_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
31004130009,36,1398,768,340,2073,0.8,1825,2.8
31004130010,39,1257,613,315,1542,0.8,1383,2.6
31004130011,33,867,581,210,949,0.8,937,2.4
31004130012,37,1000,625,290,1609,0.9,1422,2.9
31004130013,37,1300,823,338,1902,0.8,1666,2.7
31004130014,30,1300,504,195,1062,0.9,1050,2.8
31004130015,25,988,459,238,947,0.9,938,3.2
31004130016,31,1422,635,340,1708,0.9,1652,3.3
31004130017,24,1300,725,360,1687,1,1699,3.9
31004130018,33,1500,664,350,1640,0.8,1346,2.5
31004130020,33,901,633,238,1406,0.8,1166,2.6
31004130021,40,1300,557,295,1348,0.8,1208,2.7
31004130022,24,1307,606,333,1369,1,1437,3.6
31004130023,31,1126,559,282,1142,0.9,1111,2.8
31004130101,0,0,0,0,0,0,0,0
31004130201,25,1300,707,350,1577,0.9,1559,3.4
31004130203,25,1395,683,350,1542,0.9,1562,3.5
31004130206,61,1100,624,460,1125,0.6,1125,3.1
31004130207,34,1300,704,350,1762,0.8,1547,3.1
31004130208,28,1280,630,275,1363,0.9,1149,2.8
31004130209,30,1593,673,340,1430,0.8,1437,2.7
31004130210,31,1387,706,335,1600,0.8,1575,3
31004130211,35,1441,621,340,1708,0.9,1483,3
31004130212,26,1591,906,350,1922,0.8,1649,2.7
31004130215,38,1400,749,330,1798,0.8,1759,3
31004130216,30,1420,675,340,1875,1,1768,3.4
31004130218,25,1343,661,350,1615,0.9,1571,3.6
31004130219,33,1343,734,315,1562,0.9,1625,3
31004130220,36,1149,553,280,1208,0.8,1017,2.4
31004130221,28,1360,647,340,1476,0.9,1468,3
31004130222,32,1257,742,310,1478,0.8,1409,2.5
31004130223,35,1517,813,340,1890,0.7,1640,2.7
