,o_lat,o_lon,frequency,Median_age_persons,Med_mort_repaymnt_monthly,Median_rent_weekly,Med_tot_hh_incom_weekly,Average_household_size,quantity_class
307,-27.470357,153.088231,59.0,36.0,2600.0,500.0,2833.0,2.9,Very Low
308,-27.463361,153.085725,60.0,37.0,2282.0,528.0,2527.0,2.8,Very Low
309,-27.398313,152.974292,134.0,40.0,2033.0,430.0,2410.0,2.8,Low
310,-27.564611,152.875661,459.0,41.0,2074.0,475.0,2652.0,3.1,High
311,-27.563505,152.876021,448.0,43.0,1950.0,515.0,2439.0,3.1,Very Low
312,-27.470099,153.088403,60.0,37.0,2928.0,530.0,3571.0,3.0,Very Low
313,-27.551285,152.948205,126.0,41.0,2500.0,540.0,2763.0,3.0,Medium
314,-27.506041,152.914459,59.0,44.0,2700.0,481.0,4349.0,3.2,Medium
315,-27.497335,152.912283,59.0,44.0,2700.0,481.0,4349.0,3.2,Very Low
316,-27.45512,153.035874,607.0,36.0,1419.0,350.0,958.0,1.3,High
317,-27.454122,153.036896,486.0,36.0,1419.0,350.0,958.0,1.3,High
318,-27.453287,153.040209,437.0,33.0,2021.0,450.0,2422.0,1.7,High
319,-27.453818,153.038426,121.0,31.0,1729.0,355.0,1496.0,1.6,Low
320,-27.454884,153.03866,1177.0,35.0,1898.0,445.0,2230.0,1.9,High
321,-27.45585,153.0377,552.0,30.0,1310.0,430.0,1711.0,1.7,High
