,stop_id,frequency
1741,2262,60
1742,1931,60
1743,6618,60
1744,4063,60
1745,2328,60
1746,6071,60
1747,6074,60
1748,6075,60
1749,6076,60
1750,6152,60
1751,13093,60
1752,13090,60
1753,6091,60
1754,6093,60
1755,2458,60
1756,2476,60
1757,2477,60
1758,6150,60
1759,6113,60
1760,6069,60
1761,6114,60
1762,14038,60
1763,6319,60
1764,1934,60
1765,1935,60
1766,1936,60
1767,1937,60
1768,1938,60
1769,1939,60
1770,1940,60
1771,1941,60
1772,4050,60
1773,1930,60
1774,1929,60
1775,1928,60
1776,1927,60
1777,11304,60
1778,6320,60
1779,1926,60
1780,4061,60
1781,13185,60
1782,4062,60
1783,6180,60
1784,6178,60
1785,6176,60
1786,6173,60
1787,6170,60
1788,6168,60
1789,6166,60
1790,6314,60
1791,10988,60
1792,10987,60
1793,6316,60
1794,6195,60
1795,19078,60
1796,1933,60
1797,6144,60
1798,6146,60
1799,2745,60
1800,1792,60
1801,710,60
1802,1385,60
1803,579,60
1804,5435,60
1805,5439,60
1806,1384,60
1807,5486,60
1808,3707,60
1809,709,60
1810,3682,60
1811,1383,60
1812,1389,60
1813,2649,60
1814,3706,60
1815,708,60
1816,3705,60
1817,582,60
1818,1390,60
1819,3683,60
1820,5458,60
1821,5586,60
1822,1387,60
1823,1793,60
1824,2594,60
1825,2827,60
1826,3665,60
1827,5674,60
1828,10053,60
1829,10116,60
1830,10054,60
1831,1394,60
1832,10114,60
1833,10055,60
1834,10112,60
1835,2595,60
1836,6140,60
1837,5470,60
1838,6142,60
1839,19075,60
1840,2749,60
1841,2751,60
1842,1392,60
1843,5390,60
1844,10098,60
1845,1388,60
1846,2669,60
1847,10108,60
1848,10110,60
1849,5133,61
1850,6285,62
1851,12036,62
1852,6041,62
1853,1544,62
1854,11295,62
1855,10061,62
1856,10989,62
1857,11294,62
1858,1713,62
1859,10047,62
1860,12032,62
1861,1714,62
1862,4347,62
1863,6273,62
1864,4350,62
1865,5617,62
1866,1709,62
1867,1707,62
1868,11298,62
1869,1704,62
1870,4339,62
1871,6254,62
1872,6255,62
1873,12072,62
1874,5448,62
1875,10048,62
